t,phi
17817,47.1240005493
17858,31.4159984588
17899,47.1240005493
17940,31.4159984588
17981,47.1240005493
18022,47.1240005493
18063,54.9780006408
18104,39.2700004577
18145,47.1240005493
18186,62.8319969177
18227,31.4159984588
18268,62.8319969177
18309,62.8319969177
18350,47.1240005493
18391,54.9780006408
18432,39.2700004577
18473,47.1240005493
18515,54.9780006408
18556,47.1240005493
18597,54.9780006408
18638,47.1240005493
18679,54.9780006408
18720,39.2700004577
18761,39.2700004577
18802,54.9780006408
18843,47.1240005493
18884,47.1240005493
18925,47.1240005493
18966,31.4159984588
19007,47.1240005493
19048,54.9780006408
19089,47.1240005493
19130,47.1240005493
19171,47.1240005493
19212,39.2700004577
19253,47.1240005493
19294,47.1240005493
19335,54.9780006408
19376,39.2700004577
19417,31.4159984588
19458,39.2700004577
19499,47.1240005493
19540,39.2700004577
19582,54.9780006408
19624,47.1240005493
19665,47.1240005493
19706,62.8319969177
19747,39.2700004577
19788,54.9780006408
19829,54.9780006408
19870,62.8319969177
19911,47.1240005493
19952,23.5620002746
19993,47.1240005493
20034,47.1240005493
20075,39.2700004577
20116,47.1240005493
20157,54.9780006408
20198,47.1240005493
20239,39.2700004577
20280,62.8319969177
20321,39.2700004577
20362,54.9780006408
20403,39.2700004577
20444,54.9780006408
20485,39.2700004577
20526,47.1240005493
20567,54.9780006408
20608,39.2700004577
20649,62.8319969177
20691,54.9780006408
20732,47.1240005493
20773,47.1240005493
20814,39.2700004577
20855,39.2700004577
20896,54.9780006408
20937,39.2700004577
20978,39.2700004577
21019,47.1240005493
21060,54.9780006408
21101,47.1240005493
21142,39.2700004577
21183,62.8319969177
21224,47.1240005493
21265,39.2700004577
21306,47.1240005493
21347,47.1240005493
21388,54.9780006408
21429,39.2700004577
21470,31.4159984588
21511,47.1240005493
21552,47.1240005493
21593,47.1240005493
21634,47.1240005493
21675,47.1240005493
21716,54.9780006408
21758,54.9780006408
21800,47.1240005493
21841,54.9780006408
21882,47.1240005493
21923,47.1240005493
21964,54.9780006408
22005,39.2700004577
22046,23.5620002746
22087,31.4159984588
22128,31.4159984588
22169,15.7079992294
22210,15.7079992294
22251,0.0000000000
22292,0.0000000000
22333,0.0000000000
22374,0.0000000000
22415,0.0000000000
22456,0.0000000000
22497,0.0000000000
22538,0.0000000000
22579,0.0000000000
22620,0.0000000000
22661,0.0000000000
22702,0.0000000000
22743,0.0000000000
22784,0.0000000000
22825,0.0000000000
22867,0.0000000000
22908,0.0000000000
22949,0.0000000000
22990,0.0000000000
23031,0.0000000000
23072,0.0000000000
23113,0.0000000000
23154,0.0000000000
23195,0.0000000000
23236,0.0000000000
23277,0.0000000000
23318,0.0000000000
23359,0.0000000000
23400,0.0000000000
23441,0.0000000000
23482,0.0000000000
23523,0.0000000000
23564,0.0000000000
23605,0.0000000000
23646,0.0000000000
23687,0.0000000000
23728,0.0000000000
23769,0.0000000000
23810,0.0000000000
23851,0.0000000000
23892,0.0000000000
23934,0.0000000000
23976,0.0000000000
24017,0.0000000000
24058,0.0000000000
24099,0.0000000000
24140,0.0000000000
24181,0.0000000000
24222,0.0000000000
24263,0.0000000000
24304,0.0000000000
24345,0.0000000000
24386,0.0000000000
24427,0.0000000000
24468,0.0000000000
24509,0.0000000000
24550,0.0000000000
24591,0.0000000000
24632,0.0000000000
24673,0.0000000000
24714,0.0000000000
24755,0.0000000000
24796,0.0000000000
24837,0.0000000000
24878,0.0000000000
24919,0.0000000000
24960,0.0000000000
25001,0.0000000000
25043,0.0000000000
25084,0.0000000000
25125,0.0000000000
25166,0.0000000000
25207,0.0000000000
25248,0.0000000000
25289,0.0000000000
25330,0.0000000000
25371,0.0000000000
25412,0.0000000000
25453,0.0000000000
25494,0.0000000000
25535,0.0000000000
25576,0.0000000000
25617,0.0000000000
25658,0.0000000000
25699,0.0000000000
25740,0.0000000000
25781,0.0000000000
25822,0.0000000000
25863,0.0000000000
25904,0.0000000000
25945,0.0000000000
25986,0.0000000000
26027,0.0000000000
26068,0.0000000000
26110,0.0000000000
26152,0.0000000000
26193,0.0000000000
26234,0.0000000000
26275,0.0000000000
26316,0.0000000000
26357,0.0000000000
26398,0.0000000000
26439,0.0000000000
26480,0.0000000000
26521,0.0000000000
26562,0.0000000000
26603,0.0000000000
26644,0.0000000000
26685,0.0000000000
26726,0.0000000000
26767,0.0000000000
26808,0.0000000000
26849,0.0000000000
26890,0.0000000000
26931,0.0000000000
26972,0.0000000000
27013,0.0000000000
27054,0.0000000000
27095,0.0000000000
27136,0.0000000000
27177,0.0000000000
27219,0.0000000000
27260,0.0000000000
27301,0.0000000000
27342,0.0000000000
27383,0.0000000000
27424,0.0000000000
27465,0.0000000000
27506,0.0000000000
27547
