t,phi
17241,39.2700004577
17282,47.1240005493
17323,47.1240005493
17364,39.2700004577
17406,47.1240005493
17448,47.1240005493
17489,31.4159984588
17530,54.9780006408
17571,54.9780006408
17612,31.4159984588
17653,54.9780006408
17694,54.9780006408
17735,23.5620002746
17776,47.1240005493
17817,54.9780006408
17858,54.9780006408
17899,54.9780006408
17940,39.2700004577
17981,39.2700004577
18022,47.1240005493
18063,39.2700004577
18104,54.9780006408
18145,39.2700004577
18186,54.9780006408
18227,47.1240005493
18268,47.1240005493
18309,62.8319969177
18350,39.2700004577
18391,47.1240005493
18432,39.2700004577
18473,47.1240005493
18515,39.2700004577
18556,47.1240005493
18597,39.2700004577
18638,39.2700004577
18679,62.8319969177
18720,39.2700004577
18761,54.9780006408
18802,23.5620002746
18843,47.1240005493
18884,54.9780006408
18925,54.9780006408
18966,39.2700004577
19007,47.1240005493
19048,31.4159984588
19089,47.1240005493
19130,54.9780006408
19171,47.1240005493
19212,47.1240005493
19253,47.1240005493
19294,39.2700004577
19335,47.1240005493
19376,54.9780006408
19417,47.1240005493
19458,47.1240005493
19499,62.8319969177
19540,54.9780006408
19582,47.1240005493
19624,47.1240005493
19665,31.4159984588
19706,54.9780006408
19747,39.2700004577
19788,47.1240005493
19829,47.1240005493
19870,54.9780006408
19911,31.4159984588
19952,54.9780006408
19993,39.2700004577
20034,47.1240005493
20075,54.9780006408
20116,54.9780006408
20157,31.4159984588
20198,23.5620002746
20239,31.4159984588
20280,15.7079992294
20321,31.4159984588
20362,0.0000000000
20403,0.0000000000
20444,0.0000000000
20485,0.0000000000
20526,0.0000000000
20567,0.0000000000
20608,0.0000000000
20649,0.0000000000
20691,0.0000000000
20732,0.0000000000
20773,0.0000000000
20814,0.0000000000
20855,0.0000000000
20896,0.0000000000
20937,0.0000000000
20978,0.0000000000
21019,0.0000000000
21060,0.0000000000
21101,0.0000000000
21142,0.0000000000
21183,0.0000000000
21224,0.0000000000
21265,0.0000000000
21306,0.0000000000
21347,0.0000000000
21388,0.0000000000
21429,0.0000000000
21470,0.0000000000
21511,0.0000000000
21552,0.0000000000
21593,0.0000000000
21634,0.0000000000
21675,0.0000000000
21716,0.0000000000
21758,0.0000000000
21800,0.0000000000
21841,0.0000000000
21882,0.0000000000
21923,0.0000000000
21964,0.0000000000
22005,0.0000000000
22046,0.0000000000
22087,0.0000000000
22128,0.0000000000
22169,0.0000000000
22210,0.0000000000
22251,0.0000000000
22292,0.0000000000
22333,0.0000000000
22374,0.0000000000
22415,0.0000000000
22456,0.0000000000
22497,0.0000000000
22538,0.0000000000
22579,0.0000000000
22620,0.0000000000
22661,0.0000000000
22702,0.0000000000
22743,0.0000000000
22784,0.0000000000
22825,0.0000000000
22867,0.0000000000
22908,0.0000000000
22949,0.0000000000
22990,0.0000000000
23031,0.0000000000
23072,0.0000000000
23113,0.0000000000
23154,0.0000000000
23195,0.0000000000
23236,0.0000000000
23277,0.0000000000
23318,0.0000000000
23359,0.0000000000
23400,0.0000000000
23441,0.0000000000
23482,0.0000000000
23523,0.0000000000
23564,0.0000000000
23605,0.0000000000
23646,0.0000000000
23687,0.0000000000
23728,0.0000000000
23769,0.0000000000
23810,0.0000000000
23851,0.0000000000
23892,0.0000000000
23934,0.0000000000
23976,0.0000000000
24017,0.0000000000
24058,0.0000000000
24099,0.0000000000
24140,0.0000000000
24181,0.0000000000
24222,0.0000000000
24263,0.0000000000
24304,0.0000000000
24345,0.0000000000
24386,0.0000000000
24427,0.0000000000
24468,0.0000000000
24509,0.0000000000
24550,0.0000000000
24591,0.0000000000
24632,0.0000000000
24673,0.0000000000
24714,0.0000000000
24755,0.0000000000
24796,0.0000000000
24837,0.0000000000
24878,0.0000000000
24919,0.0000000000
24960,0.0000000000
25001,0.0000000000
25043,0.0000000000
25084,0.0000000000
25125,0.0000000000
25166,0.0000000000
25207,0.0000000000
25248,0.0000000000
25289,0.0000000000
25330,0.0000000000
25371,0.0000000000
25412,0.0000000000
25453,0.0000000000
25494,0.0000000000
25535,0.0000000000
25576,0.0000000000
25617,0.0000000000
25658,0.0000000000
25699,0.0000000000
25740,0.0000000000
25781,0.0000000000
25822,0.0000000000
25863,0.0000000000
25904,0.0000000000
25945,0.0000000000
25986,0.0000000000
26027,0.0000000000

