t,phi1
19582,7.8539996147
19624,23.5620002746
19665,23.5620002746
19706,109.9560012817
19747,78.5400009155
19788,15.7079992294
19829,23.5620002746
19870,31.4159984588
19911,47.1240005493
19952,94.2480010986
19993,133.5179901123
20034,149.2259979248
20075,39.2700004577
20116,31.4159984588
20157,15.7079992294
20198,15.7079992294
20239,23.5620002746
20280,7.8539996147
20321,15.7079992294
20362,15.7079992294
20403,47.1240005493
20444,39.2700004577
20485,78.5400009155
20526,102.1019973754
20567,70.6859970092
20608,15.7079992294
20649,15.7079992294
20691,23.5620002746
20732,23.5620002746
20773,15.7079992294
20814,23.5620002746
20855,23.5620002746
20896,7.8539996147
20937,15.7079992294
20978,15.7079992294
21019,15.7079992294
21060,15.7079992294
21101,15.7079992294
21142,7.8539996147
21183,15.7079992294
21224,15.7079992294
21265,7.8539996147
21306,15.7079992294
21347,15.7079992294
21388,23.5620002746
21429,15.7079992294
21470,15.7079992294
21511,31.4159984588
21552,70.6859970092
21593,31.4159984588
21634,15.7079992294
21675,39.2700004577
21716,54.9780006408
21758,31.4159984588
21800,23.5620002746
21841,23.5620002746
21882,7.8539996147
21923,15.7079992294
21964,7.8539996147
22005,54.9780006408
22046,15.7079992294
22087,70.6859970092
22128,180.6419982910
22169,141.3719940185
22210,39.2700004577
22251,94.2480010986
22292,109.9560012817
22333,54.9780006408
22374,31.4159984588
22415,15.7079992294
22456,7.8539996147
22497,15.7079992294
22538,149.2259979248
22579,31.4159984588
22620,15.7079992294
22661,15.7079992294
22702,141.3719940185
22743,47.1240005493
22784,31.4159984588
22825,15.7079992294
22867,15.7079992294
22908,7.8539996147
22949,15.7079992294
22990,7.8539996147
23031,15.7079992294
23072,15.7079992294
23113,7.8539996147
23154,15.7079992294
23195,15.7079992294
23236,7.8539996147
23277,102.1019973754
23318,188.4960021972
23359,47.1240005493
23400,15.7079992294
23441,31.4159984588
23482,47.1240005493
23523,15.7079992294
23564,15.7079992294
23605,31.4159984588
23646,31.4159984588
23687,31.4159984588
23728,39.2700004577
23769,78.5400009155
23810,117.8099899291
23851,164.9340057373
23892,47.1240005493
23934,15.7079992294
23976,23.5620002746
24017,31.4159984588
24058,15.7079992294
24099,188.4960021972
24140,54.9780006408
24181,15.7079992294
24222,15.7079992294
24263,15.7079992294
24304,47.1240005493
24345,23.5620002746
24386,31.4159984588
24427,15.7079992294
24468,15.7079992294
24509,7.8539996147
24550,15.7079992294
24591,94.2480010986
24632,204.2039947509
24673,70.6859970092
24714,31.4159984588
24755,31.4159984588
24796,23.5620002746
24837,15.7079992294
24878,109.9560012817
24919,62.8319969177
24960,15.7079992294
25001,7.8539996147
25043,47.1240005493
25084,15.7079992294
25125,15.7079992294
25166,15.7079992294
25207,31.4159984588
25248,141.3719940185
25289,54.9780006408
25330,39.2700004577
25371,23.5620002746
25412,31.4159984588
25453,31.4159984588
25494,15.7079992294
25535,15.7079992294
25576,23.5620002746
25617,31.4159984588
25658,23.5620002746
25699,7.8539996147
25740,7.8539996147
25781,15.7079992294
25822,23.5620002746
25863,15.7079992294
25904,31.4159984588
25945,47.1240005493
25986,23.5620002746
26027,109.9560012817
26068,47.1240005493
26110,15.7079992294
26152,54.9780006408
26193,31.4159984588
26234,7.8539996147
26275,7.8539996147
26316,15.7079992294
26357,15.7079992294
26398,23.5620002746
26439,39.2700004577
26480,15.7079992294
26521,23.5620002746
26562,109.9560012817
26603,39.2700004577
26644,7.8539996147
26685,125.6639938354
26726,23.5620002746
26767,7.8539996147
26808,39.2700004577
26849,7.8539996147
26890,47.1240005493
26931,23.5620002746
26972,7.8539996147
27013,39.2700004577
27054,0.0000000000
27095,15.7079992294
27136,7.8539996147
27177,15.7079992294
27219,15.7079992294
27260,125.6639938354
27301,39.2700004577
27342,15.7079992294
27383,7.8539996147
27424,39.2700004577
27465,15.7079992294
27506,15.7079992294
27547,15.7079992294
27588,94.2480010986
27629,15.7079992294
27670,15.7079992294
27711,125.6639938354
27752,47.1240005493
27793,15.7079992294
27834,157.0800018310
27875,23.5620002746
27916,7.8539996147
27957,7.8539996147
27998,15.7079992294
28039,23.5620002746
28080,7.8539996147
28121,86.3939971923
28162,47.1240005493
28203,31.4159984588
28244,109.9560012817
28286,54.9780006408
28328,7.8539996147
28369,157.0800018310
28410,15.7079992294
28451,157.0800018310
28492,7.8539996147
28533,149.2259979248
28574,86.3939971923
28615,31.4159984588
28656,86.3939971923
28697,15.7079992294
28738,15.7079992294
28779,39.2700004577
28820,0.0000000000
28861,0.0000000000
28902,7.8539996147
